"","recipe","Source","Page","Type","Cuisine","diet","Ingredients","makeability","Needed"
"17","smoky bok choy with garlic sauce","Wok",203,"side","asian","Vegan","<span style='color: #CD2626;'>bok choy</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>white pepper</span>",5,1
"18","sichuan style fish fragrant eggplant","Wok",191,"side","asian","Non-vegetarian","<span style='color: #458B00;'>chicken stock</span> or <span style='color: #458B00;'>msg</span> or <span style='color: #458B00;'>ground pork</span> or <span style='color: #458B00;'>chinkiang vinegar</span> or <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #CD2626;'>chinese eggplant</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>dark soy sauce</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>doubanjiang</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>cilantro</span>",5,1
"19","sichuan style hot and sour stir fried potatoes","Wok",190,"side","asian","Vegan","<span style='color: orange;'>dried red chile pepper</span> or <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #CD2626;'>yukon gold potato</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>szechuan peppercorn</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>chinkiang vinegar</span>, <span style='color: #458B00;'>sugar</span>",5,2
"20","korean stir fried shredded potatoes","Wok",188,"side","asian","Vegan","<span style='color: #458B00;'>sesame seeds</span> or <span style='color: #CD2626;'>yukon gold potato</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #458B00;'>sesame oil</span>",5,1
"21","hot and numbing spice blend","Wok",185,"prep","asian","Vegan","<span style='color: orange;'>dried red chile pepper</span> or <span style='color: #458B00;'>sugar</span> or <span style='color: #458B00;'>star anise</span>, <span style='color: #458B00;'>fennel seed</span>, <span style='color: #458B00;'>szechuan peppercorn</span>, <span style='color: #458B00;'>white pepper</span>",1,0
"22","stir fried new potatoes with hot and numbing spices","Wok",184,"side","asian","Vegan","<span style='color: orange;'>dried red chile pepper</span> or <span style='color: #CD2626;'>new potato</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>star anise</span>, <span style='color: #458B00;'>fennel seed</span>, <span style='color: #458B00;'>szechuan peppercorn</span>, <span style='color: #458B00;'>white pepper</span>, <span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>sugar</span>",5,2
"23","soy glazed mushrooms","Wok",183,"side","asian","Vegan","<span style='color: #CD2626;'>mushrooms</span> or <span style='color: #CD2626;'>shiitake mushrooms</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>sesame seeds</span>",5,1
"24","szechuan style blistered green beans","Wok",182,"side","asian","Non-vegetarian","<span style='color: #458B00;'>ground pork</span> or <span style='color: orange;'>red hot chili pepper</span> or <span style='color: #458B00;'>ya cai</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>green beans</span>, <span style='color: #458B00;'>szechuan peppercorn</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>chinkiang vinegar</span>, <span style='color: #458B00;'>sugar</span>",5,1
"25","stir fried corn and mushrooms with hot peppers and soy butter","Wok",177,"meal","asian","Vegetarian","<span style='color: orange;'>red hot chili pepper</span> or <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #CD2626;'>shiitake mushrooms</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>corn</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>soy sauce</span>",5,2
"26","spring vegetables with olives and szechuan peppercorns","Wok",176,"meal","asian","Vegan","<span style='color: orange;'>red hot chili pepper</span> or <span style='color: #CD2626;'>kalamata olives</span> or <span style='color: #458B00;'>black olives</span>, <span style='color: #CD2626;'>asparagus</span>, <span style='color: #458B00;'>peas</span>, <span style='color: #CD2626;'>snap peas</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>shiitake mushrooms</span>, <span style='color: #458B00;'>szechuan peppercorn</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>chinkiang vinegar</span>",5,5
"27","kung pao shrimp","Wok",147,"meal","asian","Non-vegetarian","<span style='color: #458B00;'>cashews</span> or <span style='color: #458B00;'>dry roasted peanuts</span>, <span style='color: #CD2626;'>shrimp</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>honey</span>, <span style='color: #458B00;'>chinkiang vinegar</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: orange;'>red hot chili pepper</span>, <span style='color: #458B00;'>szechuan peppercorn</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>scallions</span>",5,2
"28","soy and fragant oil dipping sauce","Wok",146,"sauce","asian","Vegan","<span style='color: orange;'>red hot chili pepper</span> or <span style='color: #458B00;'>szechuan peppercorn</span> or <span style='color: #458B00;'>star anise</span> or <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>chinkiang vinegar</span>, <span style='color: #458B00;'>sugar</span>",1,0
"29","peel and eat shrimp with garlic, scallions and chiles","Wok",145,"main","asian","Non-vegetarian","<span style='color: #458B00;'>szechuan peppercorn</span> or <span style='color: #CD2626;'>thai chili</span> or <span style='color: #CD2626;'>serrano pepper</span> or <span style='color: #CD2626;'>jalapeno</span> or <span style='color: #458B00;'>baking soda</span>, <span style='color: #CD2626;'>shrimp</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>chinkiang vinegar</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>ginger</span>",5,2
"30","stir fried fish with ginger and scallions","Wok",139,"meal","asian","Non-vegetarian","<span style='color: orange;'>halibut</span> or <span style='color: #CD2626;'>mahi mahi</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>scallions</span>",3,1
"31","stir fried fish with wood ear and oyster sauce","Wok",137,"meal","asian","Non-vegetarian","<span style='color: orange;'>halibut</span> or <span style='color: #CD2626;'>mahi mahi</span>, <span style='color: #458B00;'>dried wood ear mushroom</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>white pepper</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>oyster sauce</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>scallions</span>",5,2
"32","cumin lamb or beef","Wok",134,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>lamb</span> or <span style='color: #458B00;'>flank steak</span> or <span style='color: #CD2626;'>skirt steak</span> or <span style='color: #CD2626;'>flap meat</span> or <span style='color: #CD2626;'>hanger steak</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>sichuan peppercorns</span>, <span style='color: orange;'>red hot chili pepper</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: #458B00;'>cilantro</span>",5,3
"33","pepper steak","Wok",131,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>flap meat</span> or <span style='color: #458B00;'>flank steak</span> or <span style='color: #CD2626;'>skirt steak</span> or <span style='color: #CD2626;'>hanger steak</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>dark soy sauce</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>bell pepper</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>scallions</span>",1,0
"34","thai style beef with basil and fish sauce","Wok",129,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>thai chili</span> or <span style='color: #458B00;'>flank steak</span> or <span style='color: #CD2626;'>skirt steak</span> or <span style='color: #CD2626;'>flap meat</span> or <span style='color: #CD2626;'>hanger steak</span>, <span style='color: orange;'>lime</span> or <span style='color: #CD2626;'>makrut lime leaf</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>fish sauce</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: orange;'>palm sugar</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>thai basil</span>",5,4
"35","ginger beef (with or without now peas)","Wok",120,"meal","asian","Non-vegetarian","<span style='color: #458B00;'>msg</span> or <span style='color: #458B00;'>flank steak</span> or <span style='color: #CD2626;'>hanger steak</span> or <span style='color: #CD2626;'>flap meat</span> or <span style='color: #CD2626;'>skirt steak</span>, <span style='color: #CD2626;'>snap peas</span> or <span style='color: #CD2626;'>asparagus</span> or <span style='color: #CD2626;'>green beans</span>, <span style='color: #458B00;'>cilantro</span> or <span style='color: orange;'>basil</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>dark soy sauce</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>ginger</span>",5,1
"36","thai style stir fried ground meat with basil","Wok",112,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>thai chili</span> or <span style='color: #CD2626;'>green beans</span> or <span style='color: #458B00;'>egg</span> or <span style='color: orange;'>ground chicken</span> or <span style='color: orange;'>ground beef</span> or <span style='color: #458B00;'>ground pork</span>, <span style='color: orange;'>palm sugar</span> or <span style='color: #458B00;'>sugar</span>, <span style='color: #CD2626;'>thai basil</span> or <span style='color: orange;'>basil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>fish sauce</span>, <span style='color: #458B00;'>dark soy sauce</span>, <span style='color: #458B00;'>oyster sauce</span>",3,3
"37","moo shu mushrooms or pork","Wok",104,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>pork loin</span> or <span style='color: #458B00;'>chicken breast</span> or <span style='color: #458B00;'>tofu</span> or <span style='color: #458B00;'>dried wood ear mushroom</span>, <span style='color: #CD2626;'>dried daylily buds</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>white pepper</span>, <span style='color: #458B00;'>msg</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>hoisin sauce</span>",5,3
"38","sliced pork and cucumber","Wok",98,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>pork loin</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>white pepper</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>cucumber</span>",5,1
"39","chunking pork","Wok",95,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>pork loin</span> or <span style='color: orange;'>pork belly</span>, <span style='color: #458B00;'>dark soy sauce</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>msg</span>, <span style='color: #CD2626;'>dried fermented black beans</span>, <span style='color: #458B00;'>hoisin sauce</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>green cabbage</span>",5,3
"40","sitr fried kimchi pork","Wok",91,"meal","asian","Non-vegetarian","<span style='color: #458B00;'>sesame seeds</span> or <span style='color: orange;'>red hot chili pepper</span> or <span style='color: orange;'>pork belly</span> or <span style='color: #CD2626;'>pork loin</span>, <span style='color: #458B00;'>gochujang</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>kimchi</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>onion</span>",3,1
"41","sliced pork with chives","Wok",90,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>chinese chives</span> or <span style='color: #CD2626;'>leek</span> or <span style='color: #458B00;'>shallot</span> or <span style='color: #458B00;'>onion</span>, <span style='color: #CD2626;'>pork loin</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>white pepper</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>",5,2
"42","pickled chiles","Wok",84,"prep","asian","Vegan","<span style='color: #CD2626;'>thai chili</span> or <span style='color: orange;'>red hot chili pepper</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>white vinegar</span>",3,1
"43","pico's not so bland chicken","Wok",80,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>water chestnuts</span>, <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>white pepper</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #CD2626;'>mushrooms</span>",5,2
"44","velvet chicken with snap peas and lemon ginger sauce","Wok",78,"meal","asian","Non-vegetarian","<span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #CD2626;'>snap peas</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>scallions</span>",5,1
"45","sweet and sour chicken or pork","Wok",75,"meal","asian","Non-vegetarian","<span style='color: #458B00;'>cashews</span> or <span style='color: #458B00;'>chicken breast</span> or <span style='color: #CD2626;'>pork tenderloin</span>, <span style='color: #458B00;'>white vinegar</span> or <span style='color: #458B00;'>apple cider vinegar</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #CD2626;'>canned pineapple</span>, <span style='color: #458B00;'>ketchup</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>bell pepper</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>",5,1
"46","chicken with basil chiles and fish sauce","Wok",69,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>thai chili</span> or <span style='color: #458B00;'>chicken breast</span> or <span style='color: #CD2626;'>pork loin</span>, <span style='color: #458B00;'>fish sauce</span>, <span style='color: #458B00;'>white pepper</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #CD2626;'>thai basil</span>",5,2
